주차,Day,요일,학습 챕터,소요시간(분),세부 활동,완료여부
3주차,Day 15,월,ch13_string,120,"[30분] ch13 README - UTF-8/불변/rune 타입, [40분] 예시 코드 - strings 패키지 주요 함수, [20분] string↔[]byte/[]rune 변환 + 한글 처리 실험, [30분] ch13 연습문제",☐
3주차,Day 16,화,ch14_package,120,"[30분] ch14 README - 패키지/import/대문자 공개규칙/go mod, [40분] 예시 코드 - 직접 패키지 만들기+import, [20분] go mod init/go mod tidy 실험, [30분] ch14 연습문제",☐
3주차,Day 17,수,ch15_project_guessing_game,120,"[20분] ch15 README - 프로젝트 요구사항 파악, [80분] 숫자맞추기 게임 직접 구현 - rand/Scanf/제어문 조합, [20분] 코드 리팩토링 - 함수 분리/에러 처리 추가",☐
3주차,Day 18,목,ch01-ch15 전체 복습,120,"[40분] ch01-ch15 핵심 개념 빠르게 훑기 - README 요약 재읽기, [40분] 어려웠던 3개 챕터 예시 코드 재타이핑, [40분] 자가 테스트 - 변수선언 3가지/값vs참조/포인터 이유",☐
3주차,Day 19,금,GO_CODING_STANDARDS.md 1-8장,120,"[60분] 코딩 표준 1-8장 정독 - 네이밍/포맷팅/에러처리 관례, [30분] 기존 코드에서 표준 위반 찾기, [30분] gofmt/go vet으로 코드 수정 연습",☐
3주차,Day 20,토,1단계 프로젝트 과제,120,"[10분] 프로젝트 과제 요구사항 읽기, [90분] 프로젝트 구현 - ch01-ch15 개념 종합 활용, [20분] GO_CODING_STANDARDS.md 기준으로 코드 검토",☐
3주차,Day 21,일,1단계 보충 학습,120,"[120분] 부족한 부분 집중 보충 또는: Go Playground 실험/Go Tour Basics/미완성 과제 완료",☐
4주차,Day 22,월,ch16_slice(전반),120,"[30분] ch16 README 전반 - 슬라이스 기본/배열 차이/내부 구조, [40분] 예시 코드 - make/append/len/cap, [30분] 내부 동작 실험 - append시 용량 증가 패턴, [20분] 배열→슬라이스 메모리 공유 확인",☐
4주차,Day 23,화,ch16_slice(후반),120,"[30분] ch16 README 후반 - 슬라이싱/copy/sort, [40분] 슬라이싱 문법 실험 - s[1:3]/s[:2]/s[2:], [20분] sort.Slice/sort.SliceStable 정렬 실습, [30분] ch16 연습문제 전체",☐
4주차,Day 24,수,ch17_method,120,"[30분] ch17 README - 메서드 정의/value vs pointer receiver, [40분] 예시 코드 - 같은 메서드를 두 가지 receiver로 비교, [20분] 메서드 표현식/메서드 값 실험, [30분] ch17 연습문제 - 구조체에 메서드 추가",☐
4주차,Day 25,목,ch18_interface(전반),120,"[40분] ch18 README 전반 - 인터페이스 개념/덕타이핑/io.Reader·Writer, [40분] 예시 코드 - 인터페이스 정의+여러 타입 구현, [40분] 덕타이핑 체험 - 서로 다른 패키지 타입이 인터페이스 만족",☐
4주차,Day 26,금,ch18_interface(후반),120,"[30분] ch18 README 후반 - 타입 어서션/타입 스위치/any, [40분] 타입 어서션+타입 스위치 예시 코드 타이핑, [20분] Stringer/error 표준 인터페이스 구현, [30분] ch18 연습문제 전체",☐
4주차,Day 27,토,ch19_functions_advanced,120,"[30분] ch19 README - 익명 함수/클로저/함수 매개변수·반환값, [40분] 예시 코드 - 클로저 외부 변수 캡처 관찰, [20분] defer LIFO 동작 실험 - 파일 닫기/뮤텍스 해제, [30분] ch19 연습문제 - 고차 함수 구현",☐
4주차,Day 28,일,ch16-ch19 복습,120,"[30분] 핵심 개념 정리 - 슬라이스/인터페이스/클로저 중점, [60분] ch16-ch19 구현과제 도전, [30분] 인터페이스 다형성 예제 직접 설계+구현",☐
5주차,Day 29,월,"ch20_data_structures(리스트,링)",120,"[30분] ch20 README 리스트/링 부분 읽기, [40분] 이중 연결 리스트 예시 코드 타이핑, [20분] 링 버퍼 동작 실험, [30분] 슬라이스 vs 리스트 성능 차이 정리",☐
5주차,Day 30,화,ch20_data_structures(맵),120,"[30분] ch20 README 맵 부분 읽기 - 선언/초기화/CRUD/순회, [40분] 맵 예시 코드 - v,ok := m[key] 패턴 실습, [20분] 맵 순회 순서 비보장 실험, [30분] ch20 연습문제 - 단어 빈도 세기",☐
5주차,Day 31,수,ch21_error_handling,120,"[30분] ch21 README - 에러 철학/error 인터페이스/커스텀 에러, [40분] 예시 코드 - errors.New/fmt.Errorf/errors.Is/As, [20분] panic/recover 사용법+시기 학습, [30분] ch21 연습문제 - 커스텀 에러+체이닝",☐
5주차,Day 32,목,ch22_goroutine(전반),120,"[40분] ch22 README 전반 - 고루틴 개념/go 키워드/OS 스레드 차이, [40분] 예시 코드 - 고루틴 생성+time.Sleep 종료 문제 관찰, [40분] sync.WaitGroup으로 고루틴 완료 대기 실습",☐
5주차,Day 33,금,ch22_goroutine(후반),120,"[30분] ch22 README 후반 - 레이스 컨디션/Mutex/데드락, [40분] 레이스 컨디션 코드 작성 + go run -race 감지 + Mutex 해결, [20분] 데드락 의도적 생성 + Go 런타임 감지 확인, [30분] ch22 연습문제",☐
5주차,Day 34,토,ch23_channel_context,120,"[30분] ch23 README - 채널/버퍼·언버퍼/select/context, [40분] 채널 예시 코드 - 고루틴 간 데이터 전달, [20분] select 멀티플렉싱 + 타임아웃 패턴, [30분] context.WithCancel/WithTimeout 실습 + 연습문제",☐
5주차,Day 35,일,ch20-ch23 복습,120,"[30분] 핵심 개념 정리 - 고루틴·채널·컨텍스트 관계 그림, [60분] 동시성 구현과제 - 동시 URL 요청/파이프라인, [30분] 'share memory by communicating' 원칙 자기 설명",☐
6주차,Day 36,월,ch24_generics,120,"[30분] ch24 README - 제네릭/타입 파라미터/constraints, [40분] 예시 코드 - 제네릭 함수+제네릭 타입, [20분] comparable/any/커스텀 제약 실험, [30분] ch24 연습문제 - Map/Filter/Reduce 구현",☐
6주차,Day 37,화,ch25_project_word_search(기본),120,"[20분] ch25 README - 프로젝트 요구사항 파악, [80분] 단어 검색 기본 버전 구현 - 파일 읽기/문자열 검색/결과 출력, [20분] 코드 정리 + 에러 처리 보강",☐
6주차,Day 38,수,ch25_project_word_search(고루틴),120,"[20분] 기본 버전 성능 한계 분석, [60분] 고루틴+채널 병렬 검색 버전 구현, [20분] 기본 vs 고루틴 실행 시간 비교, [20분] -race 플래그로 레이스 컨디션 확인",☐
6주차,Day 39,목,GO_CODING_STANDARDS.md 9-16장,120,"[60분] 코딩 표준 9-16장 정독 - 동시성/테스트/프로젝트구조, [30분] 프로젝트 코드에서 표준 위반 찾기+수정, [30분] golint/staticcheck 린트 도구 사용",☐
6주차,Day 40,금,ch16-ch25 전체 복습,120,"[40분] ch16-ch25 핵심 개념 훑기, [40분] 어려웠던 3개 챕터 예시 코드 재타이핑, [40분] 자가 테스트 - 슬라이스 구조/덕타이핑/고루틴vs스레드/채널 역할",☐
6주차,Day 41,토,2단계 프로젝트 과제,120,"[10분] 프로젝트 과제 요구사항 읽기, [90분] 프로젝트 구현 - ch16-ch25 개념 종합, [20분] 코드 리뷰 - GO_CODING_STANDARDS.md 기준 검토",☐
6주차,Day 42,일,noteA_go_extras,120,"[40분] noteA README - 추가 문법 요소 학습, [40분] 예시 코드 타이핑+실행, [40분] 연습문제 + 기존 코드에 새 문법 적용 검토",☐
7주차,Day 43,월,ch26_testing,120,"[30분] ch26 README - testing 패키지/Test 접두사/테이블 기반, [40분] 예시 코드 - 기존 함수 테스트 작성, [20분] 벤치마크 테스트 작성 + go test -bench, [30분] ch26 연습문제 + go test -cover",☐
7주차,Day 44,화,ch27_profiling,120,"[30분] ch27 README - CPU/메모리 프로파일링/pprof, [40분] 예시 코드 - 비효율 코드 프로파일링으로 병목 찾기, [30분] go tool pprof로 프로파일 분석, [20분] ch27 연습문제",☐
7주차,Day 45,수,ch28_project_http_server(전반),120,"[30분] ch28 README 전반 - net/http/HandleFunc/ListenAndServe, [40분] 기본 HTTP 서버 타이핑+실행 - curl로 요청 확인, [30분] ServeMux 라우팅 실습 - 여러 엔드포인트, [20분] GET/POST 메서드 분기 처리",☐
7주차,Day 46,목,ch28_project_http_server(후반),120,"[30분] ch28 README 후반 - JSON/HTTPS/테스트, [40분] JSON 핸들러 구현 - encoding/json Marshal/Unmarshal, [20분] httptest로 핸들러 단위 테스트, [30분] ch28 연습문제",☐
7주차,Day 47,금,ch29_project_restful_api(전반),120,"[30분] ch29 README 전반 - REST 원칙/리소스 설계/CRUD 매핑, [50분] RESTful API 서버 구현 - 리소스/라우팅/CRUD 핸들러, [40분] JSON 요청 파싱+응답 생성+에러 처리",☐
7주차,Day 48,토,ch29_project_restful_api(후반),120,"[30분] ch29 README 후반 - API 테스트/Gin 프레임워크, [40분] httptest로 API 테스트 - 성공/실패 케이스, [30분] Gin으로 같은 API 재구현 - 표준라이브러리와 비교, [20분] ch29 연습문제",☐
7주차,Day 49,일,ch26-ch29 복습,120,"[30분] ch26-ch29 핵심 개념 정리 - TDD 워크플로 복습, [60분] 서버 구현과제 - TODO API 서버 등, [30분] 서버 테스트 작성 + 커버리지 확인",☐
8주차,Day 50,월,ch30 TCP 에코 서버,120,"[30분] ch30 README TCP 부분 - net 패키지/TCP 연결/소켓 통신, [50분] TCP 에코 서버+클라이언트 구현, [40분] 고루틴으로 다중 클라이언트 동시 처리",☐
8주차,Day 51,화,ch30 채팅 서버,120,"[20분] 채팅 서버 요구사항 정리 - 메시지 브로드캐스트, [70분] TCP 기반 채팅 서버 구현 - 클라이언트 관리/브로드캐스트/접속 알림, [30분] 채팅 클라이언트 구현 + 멀티 터미널 테스트",☐
8주차,Day 52,수,ch30 gRPC 채팅,120,"[30분] ch30 README gRPC 부분 - Protocol Buffers/4가지 통신 패턴, [50분] .proto 파일 작성 + gRPC 서버/클라이언트 구현, [40분] Bidirectional Streaming 채팅 구현+테스트",☐
8주차,Day 53,목,noteB_thinking_programming,120,"[40분] noteB README - 문제 해결 방법론/알고리즘적 사고/설계 원칙, [40분] 예시 코드 타이핑+실행, [40분] 연습문제 - 프로그래밍 사고력",☐
8주차,Day 54,금,ch26-ch30 전체 복습,120,"[40분] ch26-ch30 핵심 개념 훑기, [40분] 어려웠던 부분 예시 코드 재타이핑, [40분] HTTP→REST API→gRPC 발전 과정 정리 + 장단점 비교",☐
8주차,Day 55,토,최종 프로젝트 과제,120,"[10분] 최종 프로젝트 요구사항 파악, [90분] 전 과정 개념 활용하여 최종 프로젝트 구현, [20분] 테스트 작성 + 코드 리팩토링",☐
8주차,Day 56,일,전체 마무리,120,"[40분] ch01-ch30 전체 핵심 개념 최종 정리 - 챕터별 한 문장 요약, [40분] 8주간 성장 포인트 확인 - 처음 vs 마지막 코드 품질 비교, [40분] 다음 학습 목표 설정 - STUDY_PLAN.md 섹션6 참고",☐
